,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other
1483,"Forrest County, Mississippi",75835.0,46732.0,29012.0,647.0,964.0,14.0,388.0
1484,"Itawamba County, Mississippi",23439.0,21467.0,1858.0,22.0,59.0,7.0,139.0
1485,"Lafayette County, Mississippi",52744.0,38355.0,12835.0,86.0,1329.0,104.0,676.0
1486,"Issaquena County, Mississippi",1296.0,445.0,841.0,0.0,0.0,0.0,10.0
1487,"Jackson County, Mississippi",141314.0,103588.0,32253.0,1352.0,3964.0,450.0,2565.0
1488,"Lowndes County, Mississippi",59558.0,32736.0,26469.0,275.0,678.0,49.0,165.0
1489,"Leflore County, Mississippi",30113.0,7411.0,22233.0,14.0,225.0,152.0,268.0
1490,"Tunica County, Mississippi",10276.0,2081.0,8114.0,3.0,110.0,0.0,38.0
1491,"Wilkinson County, Mississippi",9084.0,2562.0,6495.0,7.0,6.0,0.0,39.0
1492,"Claiborne County, Mississippi",9106.0,1098.0,7940.0,15.0,64.0,20.0,25.0
1493,"Harrison County, Mississippi",200491.0,142001.0,51821.0,1921.0,7555.0,272.0,2556.0
1494,"Jefferson Davis County, Mississippi",11639.0,4446.0,7180.0,13.0,0.0,0.0,18.0
1495,"Simpson County, Mississippi",27215.0,17117.0,10042.0,159.0,145.0,0.0,54.0
1496,"Lauderdale County, Mississippi",78221.0,43488.0,34166.0,297.0,760.0,104.0,524.0
1497,"Lincoln County, Mississippi",34542.0,23643.0,10717.0,4.0,254.0,0.0,28.0
1498,"Scott County, Mississippi",28399.0,16410.0,10956.0,220.0,73.0,0.0,776.0
1499,"Winston County, Mississippi",18482.0,9378.0,8779.0,230.0,6.0,2.0,124.0
1500,"Yazoo County, Mississippi",27496.0,11110.0,16144.0,236.0,174.0,43.0,521.0
1501,"Attala County, Mississippi",18731.0,10324.0,8138.0,145.0,131.0,9.0,236.0
1502,"Benton County, Mississippi",8306.0,5127.0,3088.0,12.0,0.0,0.0,155.0
1503,"Franklin County, Mississippi",7772.0,4975.0,2818.0,23.0,2.0,0.0,3.0
1504,"Coahoma County, Mississippi",24296.0,5343.0,18875.0,57.0,141.0,0.0,13.0
1505,"Jasper County, Mississippi",16547.0,7552.0,9034.0,10.0,0.0,0.0,47.0
1506,"Jones County, Mississippi",68328.0,47638.0,20134.0,565.0,477.0,67.0,247.0
1507,"Walthall County, Mississippi",14670.0,7853.0,6760.0,13.0,72.0,0.0,36.0
1508,"Monroe County, Mississippi",35967.0,24989.0,11175.0,235.0,106.0,4.0,21.0
1509,"Pontotoc County, Mississippi",31075.0,24867.0,4923.0,176.0,291.0,50.0,1230.0
1510,"Sunflower County, Mississippi",26915.0,6775.0,20015.0,135.0,45.0,8.0,87.0
1511,"Webster County, Mississippi",9868.0,7916.0,1960.0,43.0,37.0,0.0,31.0
1512,"Alcorn County, Mississippi",37242.0,32411.0,4822.0,197.0,200.0,0.0,346.0
1513,"Adams County, Mississippi",31583.0,13908.0,17215.0,176.0,197.0,23.0,694.0
1514,"Clay County, Mississippi",19990.0,7987.0,11831.0,87.0,130.0,0.0,0.0
1515,"DeSoto County, Mississippi",173267.0,123735.0,45792.0,1036.0,3021.0,103.0,3363.0
1516,"Covington County, Mississippi",19172.0,12178.0,7048.0,56.0,46.0,87.0,0.0
1517,"Humphreys County, Mississippi",8678.0,1878.0,6629.0,14.0,87.0,0.0,143.0
1518,"Calhoun County, Mississippi",14617.0,10015.0,4195.0,19.0,40.0,51.0,549.0
1519,"Holmes County, Mississippi",18267.0,2949.0,15217.0,76.0,61.0,0.0,46.0
1520,"Amite County, Mississippi",12574.0,7260.0,5292.0,11.0,34.0,0.0,0.0
1521,"Madison County, Mississippi",102212.0,58335.0,39321.0,296.0,2776.0,64.0,2048.0
1522,"Marion County, Mississippi",25466.0,16861.0,8240.0,127.0,188.0,16.0,183.0
1523,"Tishomingo County, Mississippi",19476.0,18650.0,601.0,112.0,23.0,0.0,270.0
1524,"Wayne County, Mississippi",20458.0,11918.0,8421.0,80.0,126.0,0.0,45.0
1525,"Greene County, Mississippi",13801.0,10241.0,3654.0,36.0,2.0,0.0,9.0
1526,"Marshall County, Mississippi",35981.0,18058.0,17429.0,182.0,61.0,0.0,647.0
1527,"Quitman County, Mississippi",7537.0,2134.0,5387.0,0.0,9.0,0.0,43.0
1528,"Bolivar County, Mississippi",33121.0,10911.0,21312.0,127.0,309.0,22.0,505.0
1529,"Lamar County, Mississippi",60517.0,46756.0,12488.0,348.0,926.0,45.0,775.0
1530,"Lee County, Mississippi",84840.0,58822.0,24975.0,503.0,916.0,41.0,741.0
1531,"Pike County, Mississippi",39763.0,18032.0,21377.0,353.0,265.0,5.0,122.0
1532,"Tallahatchie County, Mississippi",14552.0,5187.0,6884.0,86.0,268.0,70.0,2149.0
1533,"Smith County, Mississippi",16114.0,12294.0,3853.0,0.0,16.0,0.0,4.0
1534,"Stone County, Mississippi",17981.0,14436.0,3656.0,155.0,24.0,0.0,0.0
1535,"Warren County, Mississippi",47510.0,23330.0,23931.0,227.0,481.0,13.0,56.0
1536,"Clarke County, Mississippi",16089.0,10354.0,5718.0,90.0,0.0,0.0,83.0
1537,"Kemper County, Mississippi",10082.0,3626.0,6087.0,378.0,0.0,0.0,0.0
1538,"Montgomery County, Mississippi",10309.0,5825.0,4485.0,223.0,44.0,0.0,60.0
1539,"Oktibbeha County, Mississippi",49392.0,29118.0,18659.0,309.0,1705.0,20.0,447.0
1540,"Neshoba County, Mississippi",29437.0,18162.0,6478.0,5227.0,215.0,0.0,55.0
1541,"Pearl River County, Mississippi",55049.0,47280.0,7254.0,649.0,372.0,54.0,482.0
1542,"Leake County, Mississippi",22936.0,11794.0,9767.0,1363.0,49.0,0.0,33.0
1543,"Noxubee County, Mississippi",10942.0,3028.0,7933.0,20.0,4.0,0.0,3.0
1544,"Rankin County, Mississippi",149645.0,116224.0,30914.0,654.0,2154.0,106.0,1504.0
1545,"Tate County, Mississippi",28333.0,19443.0,8959.0,175.0,71.0,56.0,280.0
1546,"Washington County, Mississippi",48002.0,12757.0,34620.0,217.0,392.0,8.0,456.0
1547,"Lawrence County, Mississippi",12659.0,8450.0,4258.0,73.0,4.0,0.0,0.0
1548,"Panola County, Mississippi",34229.0,16900.0,17510.0,60.0,32.0,28.0,46.0
1549,"Perry County, Mississippi",12047.0,9625.0,2500.0,31.0,22.0,0.0,20.0
1550,"Yalobusha County, Mississippi",12426.0,7299.0,5000.0,55.0,21.0,5.0,63.0
1551,"Chickasaw County, Mississippi",17305.0,9595.0,7730.0,88.0,51.0,0.0,220.0
1552,"Carroll County, Mississippi",10221.0,6721.0,3446.0,91.0,69.0,0.0,14.0
1553,"Copiah County, Mississippi",28748.0,13219.0,15088.0,42.0,170.0,0.0,589.0
1554,"George County, Mississippi",23545.0,21212.0,1941.0,248.0,201.0,0.0,197.0
1555,"Grenada County, Mississippi",21379.0,12036.0,9425.0,114.0,0.0,0.0,14.0
1556,"Hinds County, Mississippi",243249.0,64342.0,175882.0,764.0,2269.0,114.0,1422.0
1557,"Jefferson County, Mississippi",7463.0,983.0,6448.0,0.0,32.0,0.0,0.0
1558,"Newton County, Mississippi",21437.0,13748.0,6642.0,1189.0,112.0,5.0,76.0
1559,"Union County, Mississippi",28202.0,23240.0,4448.0,99.0,284.0,52.0,453.0
1560,"Prentiss County, Mississippi",25389.0,21821.0,3828.0,82.0,37.0,0.0,135.0
1561,"Howell County, Missouri",40139.0,39475.0,314.0,741.0,381.0,19.0,204.0
1562,"Carter County, Missouri",6255.0,6165.0,25.0,283.0,4.0,0.0,4.0
1563,"Dade County, Missouri",7581.0,7465.0,42.0,257.0,9.0,8.0,18.0
1564,"Linn County, Missouri",12248.0,12050.0,218.0,93.0,58.0,10.0,103.0
1565,"Johnson County, Missouri",53941.0,49823.0,3270.0,839.0,1555.0,246.0,334.0
1566,"Laclede County, Missouri",35488.0,34812.0,492.0,609.0,308.0,171.0,69.0
1567,"Maries County, Missouri",8959.0,8825.0,34.0,102.0,17.0,0.0,0.0
1568,"Phelps County, Missouri",44873.0,41551.0,1549.0,709.0,1813.0,1.0,88.0
1569,"Platte County, Missouri",96899.0,85928.0,7753.0,1439.0,3359.0,245.0,1292.0
1570,"St. Francois County, Missouri",66248.0,62567.0,3365.0,669.0,386.0,0.0,239.0
1571,"St. Louis city, Missouri",314867.0,150148.0,153186.0,2685.0,12074.0,295.0,3567.0
1572,"Andrew County, Missouri",17358.0,16863.0,481.0,121.0,45.0,84.0,62.0
1573,"Butler County, Missouri",42826.0,39846.0,2765.0,675.0,442.0,10.0,137.0
1574,"Carroll County, Missouri",8909.0,8776.0,199.0,61.0,72.0,0.0,32.0
1575,"Daviess County, Missouri",8300.0,8125.0,83.0,88.0,23.0,14.0,31.0
1576,"Holt County, Missouri",4499.0,4386.0,29.0,102.0,20.0,2.0,2.0
1577,"Knox County, Missouri",3976.0,3926.0,73.0,19.0,5.0,14.0,26.0
1578,"Ripley County, Missouri",13807.0,13641.0,125.0,250.0,30.0,53.0,41.0
1579,"Marion County, Missouri",28703.0,26829.0,1975.0,145.0,305.0,130.0,53.0
1580,"Montgomery County, Missouri",11618.0,11317.0,288.0,103.0,41.0,26.0,71.0
1581,"Osage County, Missouri",13610.0,13418.0,107.0,85.0,4.0,2.0,58.0
1582,"Stoddard County, Missouri",29634.0,29123.0,537.0,250.0,18.0,0.0,46.0
1583,"Warren County, Missouri",33554.0,31728.0,1043.0,312.0,259.0,92.0,646.0
1584,"Washington County, Missouri",24968.0,24196.0,697.0,522.0,16.0,10.0,38.0
1585,"Audrain County, Missouri",25763.0,23917.0,2046.0,186.0,228.0,15.0,291.0
1586,"Christian County, Missouri",83028.0,81305.0,1060.0,1237.0,861.0,125.0,524.0
1587,"DeKalb County, Missouri",12564.0,11096.0,1368.0,319.0,82.0,34.0,34.0
1588,"Greene County, Missouri",286759.0,267068.0,12510.0,4878.0,7386.0,733.0,3270.0
1589,"Harrison County, Missouri",8615.0,8492.0,179.0,22.0,7.0,1.0,38.0
1590,"Lafayette County, Missouri",32655.0,31515.0,1025.0,393.0,214.0,31.0,242.0
1591,"St. Clair County, Missouri",9396.0,9215.0,152.0,262.0,52.0,0.0,14.0
1592,"Adair County, Missouri",25437.0,23988.0,789.0,185.0,781.0,46.0,235.0
1593,"Schuyler County, Missouri",4450.0,4412.0,90.0,7.0,4.0,0.0,0.0
1594,"Scotland County, Missouri",4883.0,4800.0,85.0,25.0,0.0,0.0,0.0
1595,"Sullivan County, Missouri",6382.0,6046.0,173.0,60.0,51.0,5.0,177.0
1596,"Camden County, Missouri",44855.0,43505.0,431.0,516.0,354.0,60.0,407.0
1597,"Clark County, Missouri",6807.0,6765.0,86.0,66.0,10.0,0.0,0.0
1598,"Jasper County, Missouri",118522.0,110385.0,3647.0,3425.0,1735.0,581.0,2322.0
1599,"Jefferson County, Missouri",222639.0,217569.0,3658.0,1828.0,2332.0,62.0,744.0
1600,"Lewis County, Missouri",10078.0,9683.0,425.0,80.0,34.0,12.0,3.0
1601,"McDonald County, Missouri",22753.0,20610.0,525.0,1099.0,439.0,422.0,394.0
1602,"New Madrid County, Missouri",18030.0,14953.0,3161.0,187.0,15.0,0.0,78.0
1603,"Perry County, Missouri",19135.0,18793.0,94.0,240.0,134.0,0.0,40.0
1604,"Polk County, Missouri",31347.0,30681.0,436.0,806.0,192.0,26.0,20.0
1605,"Ralls County, Missouri",10208.0,9974.0,211.0,65.0,46.0,3.0,0.0
1606,"Ray County, Missouri",22859.0,22281.0,467.0,279.0,117.0,57.0,86.0
1607,"Stone County, Missouri",31529.0,30848.0,182.0,693.0,61.0,35.0,257.0
1608,"Reynolds County, Missouri",6361.0,6153.0,116.0,140.0,7.0,16.0,18.0
1609,"St. Louis County, Missouri",999539.0,709870.0,251636.0,8447.0,47407.0,1218.0,8807.0
1610,"Scott County, Missouri",38858.0,33811.0,4862.0,339.0,197.0,25.0,282.0
1611,"Barry County, Missouri",35398.0,33876.0,266.0,782.0,623.0,11.0,623.0
1612,"Barton County, Missouri",11942.0,11460.0,90.0,392.0,73.0,11.0,192.0
1613,"Boone County, Missouri",174589.0,149036.0,19124.0,2571.0,9426.0,393.0,2188.0
1614,"Cedar County, Missouri",13862.0,13721.0,179.0,141.0,70.0,80.0,54.0
1615,"Cole County, Missouri",76749.0,65081.0,9927.0,824.0,1320.0,67.0,1164.0
1616,"Crawford County, Missouri",24387.0,24148.0,182.0,298.0,153.0,8.0,155.0
1617,"Gasconade County, Missouri",14769.0,14575.0,124.0,179.0,52.0,0.0,26.0
1618,"Iron County, Missouri",10286.0,10040.0,193.0,188.0,6.0,5.0,19.0
1619,"Livingston County, Missouri",15025.0,14347.0,566.0,134.0,98.0,25.0,91.0
1620,"Macon County, Missouri",15319.0,14771.0,513.0,126.0,94.0,27.0,105.0
1621,"Moniteau County, Missouri",15904.0,14968.0,590.0,331.0,5.0,60.0,304.0
1622,"Oregon County, Missouri",10779.0,10514.0,19.0,307.0,90.0,14.0,45.0
1623,"Pemiscot County, Missouri",17344.0,12427.0,4984.0,97.0,52.0,4.0,181.0
1624,"Pettis County, Missouri",42309.0,39592.0,1749.0,429.0,452.0,68.0,1301.0
1625,"Ste. Genevieve County, Missouri",17882.0,17405.0,473.0,88.0,14.0,0.0,7.0
1626,"Shannon County, Missouri",8273.0,8105.0,18.0,299.0,23.0,6.0,36.0
1627,"Randolph County, Missouri",24987.0,23141.0,1789.0,323.0,227.0,14.0,146.0
1628,"Douglas County, Missouri",13391.0,13287.0,14.0,54.0,14.0,0.0,65.0
1629,"Dunklin County, Missouri",30905.0,26777.0,3463.0,271.0,192.0,28.0,886.0
1630,"Franklin County, Missouri",102413.0,100112.0,1442.0,851.0,753.0,107.0,811.0
1631,"Henry County, Missouri",21834.0,21195.0,411.0,303.0,153.0,64.0,63.0
1632,"Howard County, Missouri",10144.0,9500.0,630.0,132.0,39.0,23.0,40.0
1633,"Jackson County, Missouri",688554.0,476778.0,174278.0,9429.0,16730.0,2846.0,31425.0
1634,"Lawrence County, Missouri",38131.0,36851.0,368.0,767.0,206.0,13.0,632.0
1635,"Miller County, Missouri",24947.0,24301.0,221.0,406.0,140.0,0.0,139.0
1636,"Pulaski County, Missouri",53132.0,42013.0,7998.0,1144.0,2310.0,497.0,2095.0
1637,"Putnam County, Missouri",4846.0,4794.0,57.0,20.0,44.0,0.0,50.0
1638,"Taney County, Missouri",54308.0,51419.0,985.0,1189.0,737.0,119.0,1353.0
1639,"Texas County, Missouri",25714.0,24460.0,627.0,984.0,143.0,5.0,136.0
1640,"Buchanan County, Missouri",89425.0,81942.0,6549.0,1032.0,1415.0,331.0,1447.0
1641,"Caldwell County, Missouri",9046.0,8891.0,74.0,173.0,53.0,0.0,54.0
1642,"Callaway County, Missouri",44793.0,42017.0,2446.0,663.0,458.0,173.0,257.0
1643,"Cass County, Missouri",101888.0,95925.0,4834.0,1492.0,1264.0,62.0,909.0
1644,"Clinton County, Missouri",20495.0,19794.0,501.0,291.0,75.0,38.0,129.0
1645,"Cooper County, Missouri",17620.0,16205.0,1429.0,199.0,151.0,13.0,165.0
1646,"Dallas County, Missouri",16441.0,16173.0,99.0,505.0,42.0,0.0,90.0
1647,"Gentry County, Missouri",6688.0,6544.0,106.0,71.0,38.0,4.0,0.0
1648,"Hickory County, Missouri",9352.0,9148.0,6.0,260.0,23.0,29.0,30.0
1649,"Lincoln County, Missouri",54800.0,52954.0,1431.0,531.0,424.0,74.0,362.0
1650,"Mississippi County, Missouri",13916.0,10354.0,3438.0,272.0,36.0,6.0,29.0
1651,"Monroe County, Missouri",8676.0,8323.0,368.0,21.0,38.0,21.0,3.0
1652,"Newton County, Missouri",58237.0,54640.0,990.0,2463.0,1019.0,612.0,443.0
1653,"Ozark County, Missouri",9328.0,9241.0,172.0,102.0,26.0,0.0,43.0
1654,"Pike County, Missouri",18517.0,16963.0,1390.0,272.0,184.0,35.0,137.0
1655,"St. Charles County, Missouri",385115.0,356530.0,21117.0,3030.0,11814.0,457.0,2293.0
1656,"Mercer County, Missouri",3669.0,3605.0,54.0,9.0,27.0,4.0,23.0
1657,"Madison County, Missouri",12226.0,12009.0,150.0,72.0,115.0,17.0,0.0
1658,"Wright County, Missouri",18304.0,17869.0,109.0,250.0,102.0,0.0,200.0
1659,"Clay County, Missouri",236068.0,211191.0,17262.0,3618.0,7020.0,900.0,5386.0
1660,"Vernon County, Missouri",20665.0,20154.0,254.0,404.0,179.0,30.0,57.0
1661,"Dent County, Missouri",15566.0,15231.0,208.0,249.0,193.0,0.0,42.0
1662,"Saline County, Missouri",23010.0,20565.0,1478.0,326.0,237.0,233.0,1112.0
1663,"Nodaway County, Missouri",22744.0,21547.0,698.0,115.0,462.0,59.0,92.0
1664,"Worth County, Missouri",2053.0,2036.0,11.0,25.0,15.0,0.0,3.0
1665,"Chariton County, Missouri",7586.0,7373.0,266.0,37.0,23.0,2.0,0.0
1666,"Grundy County, Missouri",10111.0,9884.0,67.0,165.0,90.0,29.0,40.0
1667,"Morgan County, Missouri",20097.0,19690.0,231.0,473.0,57.0,0.0,75.0
1668,"Wayne County, Missouri",13369.0,13201.0,136.0,219.0,60.0,23.0,9.0
1669,"Bollinger County, Missouri",12347.0,12163.0,72.0,129.0,78.0,20.0,0.0
1670,"Cape Girardeau County, Missouri",78013.0,70243.0,6987.0,762.0,1435.0,173.0,318.0
1671,"Shelby County, Missouri",6084.0,5949.0,132.0,11.0,5.0,0.0,19.0
1672,"Webster County, Missouri",37558.0,36445.0,624.0,498.0,212.0,66.0,407.0
1673,"Atchison County, Missouri",5335.0,5262.0,31.0,50.0,33.0,0.0,7.0
1674,"Bates County, Missouri",16405.0,16014.0,262.0,222.0,63.0,54.0,81.0
1675,"Benton County, Missouri",18918.0,18677.0,123.0,430.0,28.0,13.0,17.0
1676,"Custer County, Montana",11895.0,11508.0,75.0,480.0,54.0,6.0,63.0
1677,"Hill County, Montana",16468.0,12160.0,114.0,4429.0,190.0,2.0,167.0
1678,"Chouteau County, Montana",5812.0,4562.0,18.0,1248.0,33.0,2.0,62.0
1679,"Treasure County, Montana",790.0,761.0,3.0,9.0,12.0,0.0,17.0
1680,"Phillips County, Montana",4139.0,3653.0,10.0,528.0,15.0,0.0,45.0
1681,"Powder River County, Montana",1610.0,1582.0,3.0,67.0,0.0,0.0,16.0
1682,"Lincoln County, Montana",19249.0,18862.0,18.0,664.0,101.0,70.0,140.0
1683,"Park County, Montana",16001.0,15797.0,157.0,363.0,52.0,18.0,27.0
1684,"Roosevelt County, Montana",11218.0,4833.0,59.0,6896.0,76.0,2.0,96.0
1685,"Blaine County, Montana",6646.0,3196.0,21.0,3441.0,19.0,49.0,56.0
1686,"Liberty County, Montana",2245.0,2226.0,6.0,0.0,0.0,19.0,19.0
1687,"Sweet Grass County, Montana",3646.0,3604.0,5.0,108.0,56.0,0.0,2.0
1688,"Richland County, Montana",11405.0,10883.0,0.0,526.0,110.0,0.0,50.0
1689,"Teton County, Montana",6040.0,5891.0,39.0,203.0,25.0,13.0,35.0
1690,"Prairie County, Montana",1325.0,1309.0,0.0,16.0,0.0,0.0,0.0
1691,"Toole County, Montana",5031.0,4704.0,19.0,387.0,49.0,0.0,8.0
1692,"Glacier County, Montana",13677.0,4710.0,58.0,9086.0,53.0,35.0,38.0
1693,"Fallon County, Montana",2925.0,2824.0,42.0,68.0,28.0,5.0,0.0
1694,"Daniels County, Montana",1788.0,1768.0,0.0,10.0,0.0,0.0,10.0
1695,"Stillwater County, Montana",9342.0,9094.0,26.0,204.0,87.0,10.0,86.0
1696,"Golden Valley County, Montana",747.0,717.0,51.0,12.0,9.0,0.0,0.0
1697,"Judith Basin County, Montana",1965.0,1938.0,0.0,51.0,0.0,0.0,0.0
1698,"Silver Bow County, Montana",34514.0,33064.0,264.0,1154.0,330.0,34.0,185.0
1699,"Deer Lodge County, Montana",9131.0,8887.0,103.0,389.0,102.0,5.0,39.0
1700,"Jefferson County, Montana",11625.0,11380.0,45.0,421.0,82.0,30.0,77.0
1701,"Granite County, Montana",3206.0,3186.0,16.0,88.0,3.0,1.0,2.0
1702,"McCone County, Montana",1728.0,1588.0,0.0,122.0,18.0,0.0,16.0
1703,"Wheatland County, Montana",2108.0,2046.0,0.0,90.0,0.0,4.0,0.0
1704,"Madison County, Montana",7902.0,7713.0,49.0,114.0,29.0,58.0,106.0
1705,"Rosebud County, Montana",9292.0,5677.0,22.0,3571.0,97.0,0.0,70.0
1706,"Sheridan County, Montana",3568.0,3457.0,48.0,141.0,55.0,22.0,26.0
1707,"Carter County, Montana",1320.0,1315.0,0.0,26.0,0.0,0.0,0.0
1708,"Dawson County, Montana",9324.0,8940.0,51.0,315.0,48.0,0.0,92.0
1709,"Big Horn County, Montana",13290.0,4380.0,130.0,8952.0,76.0,3.0,55.0
1710,"Broadwater County, Montana",5755.0,5638.0,4.0,154.0,13.0,0.0,51.0
1711,"Lake County, Montana",29518.0,21753.0,380.0,8812.0,344.0,80.0,286.0
1712,"Lewis and Clark County, Montana",66290.0,63954.0,507.0,2430.0,783.0,121.0,414.0
1713,"Pondera County, Montana",6081.0,5107.0,49.0,971.0,48.0,4.0,23.0
1714,"Yellowstone County, Montana",156332.0,146205.0,2271.0,8848.0,1849.0,250.0,1429.0
1715,"Missoula County, Montana",114231.0,108634.0,1223.0,4894.0,2679.0,129.0,791.0
1716,"Ravalli County, Montana",41387.0,40735.0,355.0,871.0,335.0,79.0,170.0
1717,"Valley County, Montana",7561.0,6773.0,57.0,923.0,33.0,48.0,8.0
1718,"Cascade County, Montana",81816.0,75107.0,1864.0,5550.0,1386.0,398.0,738.0
1719,"Fergus County, Montana",11327.0,10929.0,17.0,193.0,94.0,87.0,94.0
1720,"Garfield County, Montana",1086.0,1086.0,0.0,1.0,0.0,0.0,0.0
1721,"Mineral County, Montana",4194.0,4136.0,7.0,56.0,30.0,0.0,7.0
1722,"Petroleum County, Montana",453.0,446.0,0.0,0.0,7.0,0.0,0.0
1723,"Powell County, Montana",6852.0,6366.0,100.0,420.0,113.0,2.0,26.0
1724,"Sanders County, Montana",11414.0,10887.0,62.0,678.0,72.0,15.0,90.0
1725,"Wibaux County, Montana",1121.0,1119.0,0.0,2.0,0.0,0.0,0.0
1726,"Gallatin County, Montana",100733.0,97384.0,834.0,1946.0,2056.0,81.0,715.0
1727,"Meagher County, Montana",2000.0,1941.0,0.0,49.0,0.0,0.0,35.0
1728,"Carbon County, Montana",10466.0,10286.0,44.0,166.0,49.0,33.0,29.0
1729,"Beaverhead County, Montana",9360.0,9061.0,8.0,271.0,146.0,3.0,49.0
1730,"Flathead County, Montana",96147.0,93184.0,642.0,2662.0,1195.0,366.0,838.0
1731,"Musselshell County, Montana",4766.0,4593.0,49.0,104.0,103.0,0.0,0.0
1732,"Garden County, Nebraska",1913.0,1884.0,14.0,4.0,18.0,2.0,5.0
1733,"Hooker County, Nebraska",684.0,676.0,6.0,0.0,0.0,0.0,2.0
1734,"Morrill County, Nebraska",4903.0,4774.0,49.0,91.0,7.0,4.0,78.0
1735,"Nemaha County, Nebraska",7041.0,6826.0,125.0,61.0,58.0,1.0,21.0
1736,"Seward County, Nebraska",17045.0,16702.0,174.0,128.0,127.0,0.0,161.0
1737,"Thomas County, Nebraska",643.0,639.0,0.0,13.0,0.0,0.0,2.0
1738,"Dakota County, Nebraska",20529.0,14866.0,1040.0,857.0,727.0,63.0,3400.0
1739,"Webster County, Nebraska",3597.0,3538.0,13.0,34.0,71.0,8.0,31.0
1740,"Antelope County, Nebraska",6406.0,6287.0,17.0,49.0,28.0,1.0,60.0
1741,"Chase County, Nebraska",3803.0,3794.0,14.0,8.0,0.0,0.0,7.0
1742,"Butler County, Nebraska",8105.0,7921.0,95.0,75.0,55.0,0.0,81.0
1743,"Clay County, Nebraska",6264.0,6141.0,41.0,77.0,21.0,0.0,62.0
1744,"Arthur County, Nebraska",421.0,420.0,0.0,9.0,0.0,0.0,1.0
1745,"Custer County, Nebraska",10836.0,10551.0,106.0,38.0,92.0,0.0,118.0
1746,"Franklin County, Nebraska",3019.0,2997.0,19.0,16.0,20.0,0.0,1.0
1747,"Gage County, Nebraska",21632.0,21065.0,197.0,180.0,138.0,74.0,171.0
1748,"Hamilton County, Nebraska",9149.0,8852.0,75.0,136.0,6.0,0.0,167.0
1749,"Loup County, Nebraska",537.0,535.0,0.0,2.0,0.0,0.0,0.0
1750,"Jefferson County, Nebraska",7276.0,7181.0,44.0,170.0,18.0,0.0,8.0
1751,"Kearney County, Nebraska",6547.0,6467.0,30.0,50.0,33.0,0.0,39.0
1752,"Keith County, Nebraska",8129.0,7876.0,82.0,66.0,89.0,23.0,28.0
1753,"Madison County, Nebraska",35062.0,32640.0,750.0,631.0,454.0,2.0,1116.0
1754,"Perkins County, Nebraska",2904.0,2894.0,4.0,8.0,11.0,0.0,4.0
1755,"Phelps County, Nebraska",9163.0,9001.0,63.0,103.0,51.0,48.0,65.0
1756,"Saunders County, Nebraska",20953.0,20677.0,195.0,148.0,156.0,42.0,84.0
1757,"Scotts Bluff County, Nebraska",36509.0,34450.0,479.0,889.0,390.0,69.0,1071.0
1758,"Wayne County, Nebraska",9409.0,9029.0,265.0,124.0,51.0,0.0,70.0
1759,"Keya Paha County, Nebraska",720.0,714.0,3.0,3.0,2.0,0.0,8.0
1760,"Kimball County, Nebraska",3688.0,3581.0,18.0,94.0,43.0,0.0,45.0
1761,"Knox County, Nebraska",8496.0,7510.0,34.0,917.0,53.0,17.0,121.0
1762,"Lincoln County, Nebraska",35569.0,34584.0,611.0,375.0,387.0,19.0,261.0
1763,"Merrick County, Nebraska",7829.0,7658.0,47.0,122.0,70.0,0.0,113.0
1764,"Pierce County, Nebraska",7175.0,7097.0,48.0,47.0,40.0,15.0,24.0
1765,"Sioux County, Nebraska",1256.0,1246.0,70.0,2.0,6.0,0.0,0.0
1766,"Burt County, Nebraska",6546.0,6310.0,72.0,172.0,32.0,7.0,37.0
1767,"Cass County, Nebraska",25513.0,25009.0,233.0,139.0,175.0,236.0,157.0
1768,"Cuming County, Nebraska",9039.0,8544.0,35.0,95.0,23.0,26.0,446.0
1769,"Dixon County, Nebraska",5765.0,5527.0,57.0,58.0,7.0,5.0,184.0
1770,"Dundy County, Nebraska",2017.0,2004.0,3.0,9.0,0.0,0.0,9.0
1771,"Grant County, Nebraska",682.0,676.0,11.0,0.0,2.0,0.0,0.0
1772,"Greeley County, Nebraska",2436.0,2399.0,28.0,11.0,10.0,0.0,12.0
1773,"Hall County, Nebraska",61233.0,55341.0,1744.0,564.0,934.0,163.0,3299.0
1774,"Hayes County, Nebraska",957.0,954.0,0.0,4.0,0.0,0.0,3.0
1775,"Otoe County, Nebraska",15875.0,15470.0,199.0,148.0,134.0,0.0,260.0
1776,"Red Willow County, Nebraska",10870.0,10698.0,140.0,138.0,31.0,0.0,13.0
1777,"Cedar County, Nebraska",8561.0,8438.0,14.0,89.0,12.0,4.0,45.0
1778,"Dawes County, Nebraska",8972.0,8205.0,212.0,465.0,101.0,217.0,62.0
1779,"Johnson County, Nebraska",5200.0,4516.0,390.0,92.0,45.0,0.0,207.0
1780,"Cheyenne County, Nebraska",10012.0,9770.0,128.0,178.0,114.0,0.0,76.0
1781,"Dawson County, Nebraska",23925.0,21807.0,1539.0,267.0,6.0,12.0,637.0
1782,"Garfield County, Nebraska",1958.0,1932.0,15.0,0.0,6.0,0.0,16.0
1783,"McPherson County, Nebraska",432.0,432.0,0.0,10.0,0.0,0.0,0.0
1784,"Nance County, Nebraska",3569.0,3541.0,3.0,17.0,2.0,3.0,3.0
1785,"Pawnee County, Nebraska",2704.0,2698.0,17.0,52.0,21.0,21.0,0.0
